2022-06-21/11:52:27		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/11:52:28		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/11:57:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/11:57:54		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/12:06:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/12:06:50		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/12:10:25		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/12:10:26		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/12:12:35		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/12:12:36		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/12:17:06		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/12:17:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/12:19:22		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/12:19:23		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/12:25:47		 wafer_13012020_090817.csv: File loaded successfully!!
2022-06-21/12:25:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/12:25:49		 wafer_20022020_090716.csv: File loaded successfully!!
2022-06-21/12:25:49		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/12:25:50		 wafer_23012020_041211.csv: File loaded successfully!!
2022-06-21/12:25:51		 wafer_27012020_080911.csv: File loaded successfully!!
2022-06-21/12:25:52		 wafer_28012020_090817.csv: File loaded successfully!!
2022-06-21/12:25:53		 wafer_28042020_031911.csv: File loaded successfully!!
2022-06-21/12:25:54		 wafer_29012020_050617.csv: File loaded successfully!!
2022-06-21/12:34:45		 wafer_13012020_090817.csv: File loaded successfully!!
2022-06-21/12:34:46		 wafer_16012020_051629.csv: File loaded successfully!!
2022-06-21/12:34:47		 wafer_20022020_090716.csv: File loaded successfully!!
2022-06-21/12:34:48		 wafer_21012020_080913.csv: File loaded successfully!!
2022-06-21/12:34:48		 wafer_23012020_041211.csv: File loaded successfully!!
2022-06-21/12:34:49		 wafer_27012020_080911.csv: File loaded successfully!!
2022-06-21/12:34:50		 wafer_28012020_090817.csv: File loaded successfully!!
2022-06-21/12:34:51		 wafer_28042020_031911.csv: File loaded successfully!!
2022-06-21/12:34:52		 wafer_29012020_050617.csv: File loaded successfully!!
